message_id,conversation_id,device_id,message,category,
,1,1,hi,nutral/positive,
,1,2,"hi, wats up?",nutral/positive,
,1,1,"good, do you know why I made her angry",nutral/positive,
,1,2,you call her names,nutral/positive,
100,1,2,so stop ok?,nutral/positive,
101,1,2,she is just been hurt from this …,nutral/positive,
102,1,1,what because she is digging on Soiri an Ofri,nutral/positive,
103,1,2,she will stop,nutral/positive,
104,1,2,I talked with her about this,nutral/positive,
105,1,1,me too,nutral/positive,
106,1,2,OK you agree?,nutral/positive,
107,1,2,..,nutral/positive,
108,1,2,..?,nutral/positive,
109,1,1,hahaha,nutral/positive,
110,1,1,I told her in private too,nutral/positive,
111,1,1,ok,nutral/positive,
112,1,2,get a picture of the menora for me haaa,nutral/positive,
113,1,2,???,nutral/positive,
114,1,2,are you alive,nutral/positive,
115,1,2,you broke the phone again?,nutral/positive,
116,1,2,haha,nutral/positive,
,,,,,
117,2,3,you have 4 questions to ask me 1. why did we become farther away? 2. are you virgin? 3. do you love me? 4. do you want that we will be back to be like before? 5. when is your birthday? 6. do you want a kiss? 7. I am looking good in your opinion? 8. how do you call me in your contacts?!9. would you send me a picture of you naked? 10. would you do me?!11.would you role with me?12. did you loved me sometime? 13. what am I for you? 14.why are we so appart?! 15. do you want taht something will happen between us?! 16. you love my body? don't relate to the deviant questions,negative-soft,
,2,4,nothing,nutral/positive,
,,,,,
118,3,5,What do you want us to be? couple good friends besties nothing face to face lets talk on whatsapp what do you want us to do when we meet? selfie kiss hug dance what am I for you? good friend good buddy regular friend best what are you? like hate love good what do you want me to give you money child a kiss on the cheek a french kiss hug what am I? hot perfect ugly good #chill,nutral/positive,
121,3,6,nothing,nutral/positive,
122,3,5,just asking,nutral/positive,
123,3,5,teachers' test: science teacher? ziva math teacher? liat pe teacher? lily hebrew teacher? ayelet english teacher? miri theater teacher? none art teacher? hen geography teacher? amira israel culture teacher? sabina life skills teacher? hen driving safety teacher? none love teacher? none instructor? hen credit to toldo #liveee,nutral/positive,
124,3,6,who is talking?? #on_the_road_and_nothing_to_do #liveee,nutral/positive,
125,3,5,hhh your teacher's name is hen,nutral/positive,
126,3,5,wow Im so laughing at hen,nutral/positive,
127,3,5,hhh,nutral/positive,
128,3,5,she looks like 31,nutral/positive,
129,3,6,I think me and omer and together again,nutral/positive,
130,3,6,and she looks 16,nutral/positive,
,,,,,
131,4,5,who's online go live,nutral/positive,
132,4,6,hen puked from laughing,nutral/positive,
133,4,5,what??,nutral/positive,
134,4,5,yes,nutral/positive,
135,4,5,she's a dumbass,nutral/positive,
136,4,6,hen my love,nutral/positive,
137,4,6,I'm in love with her,nutral/positive,
138,4,6,my soul mate,nutral/positive,
139,4,5,live,nutral/positive,
140,4,5,smile_face,nutral/positive,
141,4,5,how did she?,nutral/positive,
142,4,6,she's stupid,negative-soft,
143,4,6,hhhh,nutral/positive,
,,,,,
144,5,7,live news #avisag #rotem #agam #avia #live,nutral/positive,
145,5,7,uhhh #7class,nutral/positive,
146,5,7,live**,nutral/positive,
147,5,7,live news #oferii,nutral/positive,
148,5,7,crap day #live,negative-soft,
149,5,8,why?,nutral/positive,
,,,,,
154,6,6,hen puked from laughing,nutral/positive,
155,6,5,what??,nutral/positive,
156,6,5,yes,nutral/positive,
157,6,5,she's a dumbass,negative-soft,
158,6,6,hen my love,nutral/positive,
159,6,6,I love her,nutral/positive,
160,6,6,my soul,nutral/positive,
161,6,5,live,nutral/positive,
162,6,5,smile_face,nutral/positive,
163,6,6,rotem,nutral/positive,
164,6,6,she's stupid,negative-soft,
165,6,6,smile_face,nutral/positive,
,,,,,
166,7,8,hey doron you shit face,negative-soft,
167,7,8,what are you doing tomorrow you loser,negative-soft,
,7,9,nothing bro,nutral/positive,
,,,,,
168,8,5,helloo live,nutral/positive,
169,8,5,here,nutral/positive,
170,8,6,rotemmm,nutral/positive,
171,8,6,smile_face,nutral/positive,
172,8,6,todayyy,nutral/positive,
173,8,6,launch,nutral/positive,
174,8,6,live,nutral/positive,
175,8,6,who's online plz live,nutral/positive,
176,8,6,"petition:  Sunday off
https://www.atzuma.co.il/hofesbeyameyrison",nutral/positive,
,,,,,
177,9,1,oferii,nutral/positive,
178,9,1,you guys have a strike??,nutral/positive,
179,9,2,yess,nutral/positive,
180,9,2,just woke up easyy,nutral/positive,
181,9,2,smile_face,nutral/positive,
182,9,1,getting a shot with my sister instead of math #live,nutral/positive,
183,9,1,who's helping with powers??,nutral/positive,
184,9,2,say happy birthday to yogev 13 #live,nutral/positive,
,,,,,
185,10,3,do we need to bring money?,nutral/positive,
186,10,3,I was wrong,nutral/positive,
187,10,3,mom told me,nutral/positive,
188,10,3,mom's mistake,nutral/positive,
189,10,3,smile_face,nutral/positive,
190,10,4,yes,nutral/positive,
,,,,,
191,11,3,amit wasn't offended,nutral/positive,
192,11,4,she's getting pissed,nutral/positive,
193,11,3,look up,nutral/positive,
,,,,,
194,12,7,you motherfucker learn to clean the patio,nutral/positive,
195,12,7,and respect things,nutral/positive,
196,12,7,asshole,nutral/positive,
197,12,8,that is true,nutral/positive,
,,,,,
198,13,1,what says?,nutral/positive,
199,13,2,I don't want to go alone,nutral/positive,
200,13,2,it's boring heree,nutral/positive,
201,13,2,join me to the one with hen,nutral/positive,
202,13,1,I'm not admin,nutral/positive,
,,,,,
,14,7,you like to eat,nutral/positive,
203,14,7,even more than me,nutral/positive,
204,14,8,quiet,nutral/positive,
205,14,8,stop talking,nutral/positive,
,,,,,
206,15,7,hahga,nutral/positive,
207,15,7,and,nutral/positive,
208,15,7,hh,nutral/positive,
209,15,8,I just wrote,nutral/positive,
,,,,,
210,16,11,happy birthday,nutral/positive,
211,16,11,take I get everything,nutral/positive,
212,16,12,I got*,nutral/positive,
213,16,12,grandma can you fill a questionnaire for me?,nutral/positive,
214,16,12,yes?,,
215,16,11,"of course, absolutely. Where to send it when I finish?",nutral/positive,
216,16,12,whatsapp,nutral/positive,
217,16,11,no problem!,nutral/positive,
218,16,11,a. my top 3 features? b. what do I love doing at my time off? c. With who I enjoy hanging out the most? d. how do I act when I'm happy? e. how do I act when I feel awfu? f. what is important for me? g. what makes me happy? h. what makes me sad? i. what pisses me? j. what do I love being said? k. with what it is hard for me?,nutral/positive,
219,16,12,"you mean me, right??",nutral/positive,
220,16,11,no,nutral/positive,
,,,,,
221,17,11,I will tomorrow in the flash,nutral/positive,
222,17,11,maybe they sell there,nutral/positive,
223,17,12,also check in the mundial,nutral/positive,
224,17,11,who,nutral/positive,
225,17,12,what,nutral/positive,
,,,,,
226,18,11,that is so sweet,nutral/positive,
227,18,12,it's more,nutral/positive,
228,18,11,which?,nutral/positive,
229,18,12,first,nutral/positive,
230,18,11,make the picture bigger in the first offer,nutral/positive,
231,18,12,first,nutral/positive,
,,,,,
232,19,13,I'm also starting second class tomorrow,nutral/positive,
233,19,13,amoshh,nutral/positive,
234,19,14,do you have word in your laptop,nutral/positive,
235,19,13,yes,nutral/positive,
236,19,14,awesome,nutral/positive,
237,19,13,wha a blast for yuval?!?!?!?,nutral/positive,
238,19,14,of course,nutral/positive,
239,19,13,she doesn't want me to fix her hair,nutral/positive,
